dateiname,id,rezept,land,kontinent,gang,art,prompt
chakhchoukha.jpg,chakhchoukha,Chakhchoukha,Algerien,Afrika,Hauptgericht,"Fleisch, Lamm","Food-Fotografie: Chakhchoukha, Hauptgericht aus Algerien. Im Bild klar erkennbar: dünnes Fladenbrot, Lammfleisch, Zwiebeln. Schrägsicht von 45 Grad, serviert in flache Servierplatte oder große Schale, eine Portion angerichtet, der Rest angedeutet im Hintergrund. Untergrund: gehämmertes Messingtablett auf gemusterten Zementfliesen; eine Tajine-Schale und ein Bund frische Minze am Rand. Natürliches Fensterlicht von links, weiche Schatten, kein Blitz, kein Studioglanz. Wie mit 50-mm-Objektiv bei Blende f/4 fotografiert, Hintergrund leicht unscharf, Gericht scharf. Gedeckte warme Palette aus Leinen, Sand und Ton, keine grellen Farben, kein Weißabgleich ins Kalte. Ehrlich und appetitlich statt hochglanzpoliert, so wie es zu Hause auf den Tisch kommt, keine Perfektion. Querformat 3:2, Gericht mittig mit Luft nach allen Seiten. NICHT: kein Text, keine Schrift, keine Buchstaben, kein Logo, kein Wasserzeichen, keine Hände, keine Menschen, kein Besteck in Bewegung, keine Collage, kein Rahmen, kein Rand."
chorba-frik-algerische-lammsuppe.jpg,chorba-frik-algerische-lammsuppe,Chorba Frik — algerische Lammsuppe mit Grünkern,Algerien,Afrika,Vorspeise,"Fleisch, Lamm","Food-Fotografie: Chorba Frik — algerische Lammsuppe mit Grünkern, Vorspeise aus Algerien. Im Bild klar erkennbar: Lammschulter, Frik, Zwiebel. Angerichtet wie beschrieben: Mit einem Spritzer Zitrone und warmem Fladenbrot. Aufsicht von 90 Grad, serviert auf kleiner flacher Teller, viel freie Fläche um den Teller. Untergrund: gehämmertes Messingtablett auf gemusterten Zementfliesen; eine Tajine-Schale und ein Bund frische Minze am Rand. Natürliches Fensterlicht von links, weiche Schatten, kein Blitz, kein Studioglanz. Wie mit 50-mm-Objektiv bei Blende f/4 fotografiert, Hintergrund leicht unscharf, Gericht scharf. Gedeckte warme Palette aus Leinen, Sand und Ton, keine grellen Farben, kein Weißabgleich ins Kalte. Ehrlich und appetitlich statt hochglanzpoliert, so wie es zu Hause auf den Tisch kommt, keine Perfektion. Querformat 3:2, Gericht mittig mit Luft nach allen Seiten. NICHT: kein Text, keine Schrift, keine Buchstaben, kein Logo, kein Wasserzeichen, keine Hände, keine Menschen, kein Besteck in Bewegung, keine Collage, kein Rahmen, kein Rand."
chorba-frik.jpg,chorba-frik,Chorba frik,Algerien,Afrika,Suppe,,"Food-Fotografie: Chorba frik, Suppe aus Algerien. Im Bild klar erkennbar: Lammfleisch, Frik, Zwiebeln. Leichte Schrägsicht von 30 Grad, serviert in tiefer Steingutteller, der Dampf gerade noch sichtbar. Untergrund: gehämmertes Messingtablett auf gemusterten Zementfliesen; eine Tajine-Schale und ein Bund frische Minze am Rand. Natürliches Fensterlicht von links, weiche Schatten, kein Blitz, kein Studioglanz. Wie mit 50-mm-Objektiv bei Blende f/4 fotografiert, Hintergrund leicht unscharf, Gericht scharf. Gedeckte warme Palette aus Leinen, Sand und Ton, keine grellen Farben, kein Weißabgleich ins Kalte. Ehrlich und appetitlich statt hochglanzpoliert, so wie es zu Hause auf den Tisch kommt, keine Perfektion. Querformat 3:2, Gericht mittig mit Luft nach allen Seiten. NICHT: kein Text, keine Schrift, keine Buchstaben, kein Logo, kein Wasserzeichen, keine Hände, keine Menschen, kein Besteck in Bewegung, keine Collage, kein Rahmen, kein Rand."
couscous-royale-mit-lamm-haehnchen-und-merguez.jpg,couscous-royale-mit-lamm-haehnchen-und-merguez,"Couscous Royale mit Lamm, Hähnchen und Merguez",Algerien,Afrika,Hauptgericht,"Fleisch, Geflügel, Lamm","Food-Fotografie: Couscous Royale mit Lamm, Hähnchen und Merguez, Hauptgericht aus Algerien. Im Bild klar erkennbar: Couscous, Lammschulter, Hähnchenkeulen. Schrägsicht von 45 Grad, serviert in flache Servierplatte oder große Schale, eine Portion angerichtet, der Rest angedeutet im Hintergrund. Untergrund: gehämmertes Messingtablett auf gemusterten Zementfliesen; eine Tajine-Schale und ein Bund frische Minze am Rand. Natürliches Fensterlicht von links, weiche Schatten, kein Blitz, kein Studioglanz. Wie mit 50-mm-Objektiv bei Blende f/4 fotografiert, Hintergrund leicht unscharf, Gericht scharf. Gedeckte warme Palette aus Leinen, Sand und Ton, keine grellen Farben, kein Weißabgleich ins Kalte. Ehrlich und appetitlich statt hochglanzpoliert, so wie es zu Hause auf den Tisch kommt, keine Perfektion. Querformat 3:2, Gericht mittig mit Luft nach allen Seiten. NICHT: kein Text, keine Schrift, keine Buchstaben, kein Logo, kein Wasserzeichen, keine Hände, keine Menschen, kein Besteck in Bewegung, keine Collage, kein Rahmen, kein Rand."
kalb-el-louz.jpg,kalb-el-louz,Kalb el louz,Algerien,Afrika,Dessert,Vegetarisch,"Food-Fotografie: Kalb el louz, Dessert aus Algerien. Im Bild klar erkennbar: feiner Grieß, gemahlene Mandeln, geschmolzene Butter. Fast auf Augenhöhe, 20 Grad, serviert in Kuchenteller oder Glasschale, die Schichten oder die Kruste sichtbar. Untergrund: gehämmertes Messingtablett auf gemusterten Zementfliesen; eine Tajine-Schale und ein Bund frische Minze am Rand. Natürliches Fensterlicht von links, weiche Schatten, kein Blitz, kein Studioglanz. Wie mit 50-mm-Objektiv bei Blende f/4 fotografiert, Hintergrund leicht unscharf, Gericht scharf. Gedeckte warme Palette aus Leinen, Sand und Ton, keine grellen Farben, kein Weißabgleich ins Kalte. Ehrlich und appetitlich statt hochglanzpoliert, so wie es zu Hause auf den Tisch kommt, keine Perfektion. Querformat 3:2, Gericht mittig mit Luft nach allen Seiten. NICHT: kein Text, keine Schrift, keine Buchstaben, kein Logo, kein Wasserzeichen, keine Hände, keine Menschen, kein Besteck in Bewegung, keine Collage, kein Rahmen, kein Rand."
makroud-griessrauten-mit-datteln.jpg,makroud-griessrauten-mit-datteln,Makroud — Grießrauten mit Datteln,Algerien,Afrika,Dessert,Vegetarisch,"Food-Fotografie: Makroud — Grießrauten mit Datteln, Dessert aus Algerien. Im Bild klar erkennbar: Hartweizengrieß, entsteinte Datteln, Zimt. Angerichtet wie beschrieben: Zu Pfefferminztee, in kleinen Mengen — sie sind reichhaltig. Fast auf Augenhöhe, 20 Grad, serviert in Kuchenteller oder Glasschale, die Schichten oder die Kruste sichtbar. Untergrund: gehämmertes Messingtablett auf gemusterten Zementfliesen; eine Tajine-Schale und ein Bund frische Minze am Rand. Natürliches Fensterlicht von links, weiche Schatten, kein Blitz, kein Studioglanz. Wie mit 50-mm-Objektiv bei Blende f/4 fotografiert, Hintergrund leicht unscharf, Gericht scharf. Gedeckte warme Palette aus Leinen, Sand und Ton, keine grellen Farben, kein Weißabgleich ins Kalte. Ehrlich und appetitlich statt hochglanzpoliert, so wie es zu Hause auf den Tisch kommt, keine Perfektion. Querformat 3:2, Gericht mittig mit Luft nach allen Seiten. NICHT: kein Text, keine Schrift, keine Buchstaben, kein Logo, kein Wasserzeichen, keine Hände, keine Menschen, kein Besteck in Bewegung, keine Collage, kein Rahmen, kein Rand."
asida.jpg,asida,Asida,Libyen,Afrika,Frühstück,Vegetarisch,"Food-Fotografie: Asida, Frühstück aus Libyen. Im Bild klar erkennbar: Dattelsirup  oder Honig, Butter. Schrägsicht von 45 Grad, serviert auf Frühstücksbrett oder Teller, Morgenlicht, ein Tuch beiläufig danebengelegt. Untergrund: gehämmertes Messingtablett auf gemusterten Zementfliesen; eine Tajine-Schale und ein Bund frische Minze am Rand. Natürliches Fensterlicht von links, weiche Schatten, kein Blitz, kein Studioglanz. Wie mit 50-mm-Objektiv bei Blende f/4 fotografiert, Hintergrund leicht unscharf, Gericht scharf. Gedeckte warme Palette aus Leinen, Sand und Ton, keine grellen Farben, kein Weißabgleich ins Kalte. Ehrlich und appetitlich statt hochglanzpoliert, so wie es zu Hause auf den Tisch kommt, keine Perfektion. Querformat 3:2, Gericht mittig mit Luft nach allen Seiten. NICHT: kein Text, keine Schrift, keine Buchstaben, kein Logo, kein Wasserzeichen, keine Hände, keine Menschen, kein Besteck in Bewegung, keine Collage, kein Rahmen, kein Rand."
bazin.jpg,bazin,Bazin,Libyen,Afrika,Hauptgericht,"Fleisch, Lamm","Food-Fotografie: Bazin, Hauptgericht aus Libyen. Im Bild klar erkennbar: Lammfleisch, Zwiebeln, Kartoffeln. Schrägsicht von 45 Grad, serviert in flache Servierplatte oder große Schale, eine Portion angerichtet, der Rest angedeutet im Hintergrund. Untergrund: gehämmertes Messingtablett auf gemusterten Zementfliesen; eine Tajine-Schale und ein Bund frische Minze am Rand. Natürliches Fensterlicht von links, weiche Schatten, kein Blitz, kein Studioglanz. Wie mit 50-mm-Objektiv bei Blende f/4 fotografiert, Hintergrund leicht unscharf, Gericht scharf. Gedeckte warme Palette aus Leinen, Sand und Ton, keine grellen Farben, kein Weißabgleich ins Kalte. Ehrlich und appetitlich statt hochglanzpoliert, so wie es zu Hause auf den Tisch kommt, keine Perfektion. Querformat 3:2, Gericht mittig mit Luft nach allen Seiten. NICHT: kein Text, keine Schrift, keine Buchstaben, kein Logo, kein Wasserzeichen, keine Hände, keine Menschen, kein Besteck in Bewegung, keine Collage, kein Rahmen, kein Rand."
sharba-libiya.jpg,sharba-libiya,Sharba libiya,Libyen,Afrika,Suppe,,"Food-Fotografie: Sharba libiya, Suppe aus Libyen. Im Bild klar erkennbar: Lammfleisch, Zwiebel, Tomatenmark. Leichte Schrägsicht von 30 Grad, serviert in tiefer Steingutteller, der Dampf gerade noch sichtbar. Untergrund: gehämmertes Messingtablett auf gemusterten Zementfliesen; eine Tajine-Schale und ein Bund frische Minze am Rand. Natürliches Fensterlicht von links, weiche Schatten, kein Blitz, kein Studioglanz. Wie mit 50-mm-Objektiv bei Blende f/4 fotografiert, Hintergrund leicht unscharf, Gericht scharf. Gedeckte warme Palette aus Leinen, Sand und Ton, keine grellen Farben, kein Weißabgleich ins Kalte. Ehrlich und appetitlich statt hochglanzpoliert, so wie es zu Hause auf den Tisch kommt, keine Perfektion. Querformat 3:2, Gericht mittig mit Luft nach allen Seiten. NICHT: kein Text, keine Schrift, keine Buchstaben, kein Logo, kein Wasserzeichen, keine Hände, keine Menschen, kein Besteck in Bewegung, keine Collage, kein Rahmen, kein Rand."
couscous-aux-sept-l-gumes.jpg,couscous-aux-sept-l-gumes,Couscous aux sept légumes,Marokko,Afrika,Hauptgericht,"Fleisch, Lamm","Food-Fotografie: Couscous aux sept légumes, Hauptgericht aus Marokko. Im Bild klar erkennbar: Couscous, Lammfleisch, Möhren. Schrägsicht von 45 Grad, serviert in flache Servierplatte oder große Schale, eine Portion angerichtet, der Rest angedeutet im Hintergrund. Untergrund: gehämmertes Messingtablett auf gemusterten Zementfliesen; eine Tajine-Schale und ein Bund frische Minze am Rand. Natürliches Fensterlicht von links, weiche Schatten, kein Blitz, kein Studioglanz. Wie mit 50-mm-Objektiv bei Blende f/4 fotografiert, Hintergrund leicht unscharf, Gericht scharf. Gedeckte warme Palette aus Leinen, Sand und Ton, keine grellen Farben, kein Weißabgleich ins Kalte. Ehrlich und appetitlich statt hochglanzpoliert, so wie es zu Hause auf den Tisch kommt, keine Perfektion. Querformat 3:2, Gericht mittig mit Luft nach allen Seiten. NICHT: kein Text, keine Schrift, keine Buchstaben, kein Logo, kein Wasserzeichen, keine Hände, keine Menschen, kein Besteck in Bewegung, keine Collage, kein Rahmen, kein Rand."
